,_id,date,query_reference,user_id,query,result,result_index
2662,61e7d13c1fde15c89b459bd7,2022-01-18 16:15:49.367000,-1017429981,x2qgnKBRmOcnNwn21jaWbrtSpkj2,ECLINLRBDHA201416579,ECLINLRBDHA202011408,4
2663,61e7d13c1fde15c89b459bd8,2022-01-18 16:31:42.104000,-2082698573,vsx1Dkma7tb3WqK171Ajp3JPc4G3,ECLINLGHARL20219628,ECLINLRBMNE2021202,0
2664,61e7d13c1fde15c89b459bd9,2022-01-18 16:37:29.717000,-1976379702,x2qgnKBRmOcnNwn21jaWbrtSpkj2,ECLINLRBSGR2012BW6061,ECLINLGHSHE20161847,18
2665,61e7d13c1fde15c89b459bda,2022-01-18 16:40:09.553000,1004855335,tlGAcEvV5fnocf17ew2z,ECLINLRBMNE20216071,ECLINLRBMNE20206015,0
2666,61e7d13c1fde15c89b459bdb,2022-01-18 19:20:34.767000,1049390929,FahmwJwYoTeFmgnCxaix09RlT0a2,ECLINLRBDHA20216589,ECLINLRBZWB20215010,16
2667,61e7d13c1fde15c89b459bdc,2022-01-18 19:43:54.929000,314369498,HmmFJAlM43hZNKuUAxd7,ECLINLRBROT20214214,ECLINLGHSHE20213307,7
2668,61e7d13c1fde15c89b459bdd,2022-01-18 20:20:04.653000,-1737211024,PfLYZGeFCObpTA8se65cPCorJPx1,ECLINLRVS2020202,ECLINLRBNNE20184456,11
2669,61e7d13c1fde15c89b459bde,2022-01-18 20:22:50.860000,1593430913,PfLYZGeFCObpTA8se65cPCorJPx1,ECLINLRVS20193479,ECLINLRBLIM201710047,2
2670,61e7d13c1fde15c89b459bdf,2022-01-18 20:23:26.112000,-1908608222,PfLYZGeFCObpTA8se65cPCorJPx1,ECLINLRVS20192543,ECLINLRBNNE20184456,1
2671,61e7d13c1fde15c89b459be0,2022-01-18 22:57:38.869000,-2082197384,kgNxwEUg6TYOTwo30rUIvd5Ysyd2,ECLINLGHARL2021174,ECLINLPHR20211087,0
2672,61e7d13c1fde15c89b459be1,2022-01-19 06:26:02.402000,1335540354,bG7yMpuY74CI6MRfAZcw,ECLINLRBNNE20215492,ECLINLRBNNE20215476,10
2673,61e7d13c1fde15c89b459be2,2022-01-19 07:27:35.674000,-1774486917,RSa9mFUoKAk5ataOD2mh,ECLINLHR20201275,ECLINLGHARL20187317,1
2674,61e7d13c1fde15c89b459be3,2022-01-19 07:57:31.884000,1016147197,n2lnu1uKNG8UJc6Aq7cQ,ECLINLGHARL201810362,ECLINLGHARL20175838,0
2675,61e7d13c1fde15c89b459be4,2022-01-19 08:03:10.070000,171675326,n2lnu1uKNG8UJc6Aq7cQ,ECLINLGHARL201810362,ECLINLGHARL20175838,0
2676,61e7d13c1fde15c89b459be5,2022-01-19 08:44:48.121000,1300484159,DFY7DZfllPVexLyKrDlLsHKodnv2,ECLINLRBMNE20135339,ECLINLRBMNE20135216,0
2677,61e7d13c1fde15c89b459be6,2022-01-19 08:46:33.942000,-938647124,n2lnu1uKNG8UJc6Aq7cQ,"Centraal in dit geding staat het antwoord op de vraag of de betrokkenheid van [verzoekende partij, verweerder in het voorwaardelijk tegenverzoek] bij de onderhavige hennepplantages een dringende reden vormt in de zin van art. 7:678 BW en of RWS de arbeidsovereenkomst onverwijld heeft opgezegd en van de reden daarvoor onverwijld mededeling heeft gedaan (zoals volgens dat artikel is vereist).",ECLINLRBROT20207517,0
2678,61ea6cdc1fde15c89b459be8,2022-01-19 08:49:27.503000,-77958783,DFY7DZfllPVexLyKrDlLsHKodnv2,ECLINLRBMNE20135216,ECLINLRBMNE20135351,4
